"genes"	"NF54.37.1"	"NF54.37.2"	"NF54.41.1"	"NF54.41.2"	"PB4.37.1"	"PB4.37.2"	"PB4.41.1"	"PB4.41.2"	"PB31.37.1"	"PB31.37.2"	"PB31.41.1"	"PB31.41.2"
"PF3D7.0206100"	192.36	152.57	206.58	178.94	193.29	178.72	229.67	221	166.53	219.66	193.39	224.56
"PF3D7.0206200"	82.6	123.45	23.72	31.58	83.91	149.65	38.57	56.57	202.86	231.83	94.25	29.5
"PF3D7.0206300"	61.32	59.04	39.14	41.71	77.68	68.85	57.53	99.49	23.37	80.42	45.68	77.64
"PF3D7.0206700"	98.28	124.65	101.28	83.97	103.85	144.06	113.68	117.65	146.47	147.2	93.08	99.38
"PF3D7.0206800"	1087.49	2799.65	221.31	400.43	428.01	1208.67	182.42	1248.96	5450.98	1190.63	1009.6	263.87
"PF3D7.0207000"	384.71	843.93	210.53	164.1	319.25	557.85	122.64	347.86	1973.38	800.29	395.72	136.25
"PF3D7.0207400"	42.67	87.67	21	15.52	41.72	64	11.42	32.45	260.87	103.78	34.8	16.92
"PF3D7.0207500"	56.66	97.22	28.57	15.12	61.81	64.48	16.32	37.31	353.54	124.58	43.66	19.31
"PF3D7.0207600"	227.76	541.38	84.41	48.46	247.9	321.23	53.12	130.54	1762.88	520.87	156.89	33.6
"PF3D7.0207700"	48.07	93.96	17.53	12.17	48.8	51.84	12.19	23.79	300.61	104.09	36.55	13.29
"PF3D7.0207800"	39.63	76.28	12.58	8.43	42.48	48.52	9.6	25.7	196.36	70.6	22.89	10.26
"PF3D7.0208000"	26.95	32.67	7.47	6.87	39.58	39.81	15.07	17.72	86.28	59.44	31.62	12.44
"PF3D7.0208200"	196.84	146.53	197.03	198.11	151.37	104.74	299.18	262.07	65.94	151.22	176.79	257.53
"PF3D7.0208400"	35.75	35.99	24.6	25.02	36.42	28.67	28.85	34.57	35.12	40.91	26.85	24.89
"PF3D7.0208600"	24.29	41.81	81.06	91.44	23.07	33.68	38.91	42.3	70.58	21.96	37.35	55.95
"PF3D7.0209100"	90.7	119.71	68.76	65.77	82.95	77	77.24	91.81	72.76	47.97	67.4	65.76
"PF3D7.0209200"	201.41	156.5	192.87	158.01	156.22	156.31	307.01	223.27	143.79	147.33	212.85	205.86
"PF3D7.0209300"	35.25	30.46	78.07	84.12	35.32	24.81	91.65	55.32	29.54	31.67	67.57	73.74
"PF3D7.0209400"	55.65	34.2	51.94	58.17	52.62	53.26	67.13	63.67	49.48	41.39	70.64	86.57
"PF3D7.0209700"	211.69	197.91	151.48	149.79	178.7	157.68	276.19	273.28	117.64	232.93	184.18	184.79
"PF3D7.0209800"	1168.75	1000.05	1701.24	1623.46	700.46	714.41	1759.81	1606.3	628.47	730.53	1106.93	1513.44
"PF3D7.0210400"	64.4	73.12	258.63	229.29	110.88	96.89	198.11	151.35	169.1	67.66	178.8	233.8
"PF3D7.0210600"	103.18	156.49	16.86	19.98	147.38	215.23	42.61	88.87	346.24	545.52	116.31	35.05
"PF3D7.0210900"	403.38	306.81	621.02	559.32	507.18	390.34	802.01	604.05	320.53	532.22	447.14	568.99
"PF3D7.0211200"	33.8	17.21	77.08	60.62	25.25	25.5	31.86	21.15	70.23	35	72.41	53.96
"PF3D7.0211400"	34.01	28.46	11.82	5.17	42.56	50.69	22.37	23.11	25.57	22.91	26.22	19
"PF3D7.0211700"	7.9	10.86	25.55	26.13	11.32	11.24	13.14	7.58	16.1	22.46	13.27	17.28
"PF3D7.0211800"	372.01	261.19	534.81	492.63	237.93	155.6	559.3	585.18	202.57	187.07	344.29	466.89
"PF3D7.0211900"	23.52	18.65	31.53	26.66	32.34	31.26	14.55	13.89	40.75	25.62	27.91	20.02
"PF3D7.0212100"	36.44	41.29	30.08	38.19	37.9	38.99	40.86	53.19	38.54	34.13	31.31	34.58
"PF3D7.0212300"	547.9	475.94	819.17	738.11	394.52	345.86	630.8	645.06	224.85	331.96	585.71	717.96
"PF3D7.0212600"	274.85	484.71	46.83	50.06	278.25	489.42	78.44	218.9	828.97	893.17	329.66	59.44
"PF3D7.0212900"	123.6	167.59	74.39	61.78	180.11	190.48	58.01	82.45	465.7	339.51	124.35	33.97
"PF3D7.0213300"	121.46	114.99	125.46	168.96	89.64	165.76	34.45	60.76	90.78	138.51	130.09	137.48
"PF3D7.0213400"	35.68	32.4	74.97	82.79	31.13	49.4	42.78	25.77	44.92	25.15	43.01	65.79
"PF3D7.0213700"	178.09	144.1	257.67	252.66	181.04	111.87	254.18	173.07	92.12	91.26	330.29	278.65
"PF3D7.0213900"	29.53	35.04	36.01	53.97	29.88	36.56	38.22	59.53	13.28	19.58	27.98	35.2
"PF3D7.0214000"	328.83	254.02	593.04	539.24	281.19	247.5	631.79	508.62	151.66	256.39	386.56	493.95
"PF3D7.0214200"	213.8	205.4	285.78	249.41	244.36	263.44	230.33	214.67	269.41	161.94	340.41	223.55
"PF3D7.0214400"	169.35	156.44	115.71	167.31	171.99	157.16	235.97	208.79	61.65	176.49	139.44	188.82
"PF3D7.0214600"	54.03	96.01	7.9	11.06	106.14	130.57	24.14	53.27	166.58	401.39	74.56	22.05
